text,label,notes
"Can you handle college outside of your city? They will probably need a photo for a student ID, and you're going to have to show it to a lot of new people. What are you doing to deal with your fear and anxiety issues? How are you trying to fight back against panic attacks?",advice,
"i hope you can convince your parents to still let you go, or that you find another way to pay for tuition out of state. are student loans an option? or possibly having your counselor speak to your parents to help them see that going to uni out of state is the best option for you?",advice,
She is being abused. Her parents are AHs.,judgment,
Reading the first part it seemed like they were proud. Then came the crying and screaming and it all fell apart. Makes me wonder what the last few years have been like and what got it to this point.,reaction,
Last I went to the DMV the photographer asked me to approve the photo for my I.D. You gunna tell me her parents can't handle basically a DMV job? Sounds like it's quite possible her parents add to her anxiety due to the way they react so escaping would probably ease some of her symptoms.,judgment,borderline judgment/reaction; leans toward assigning fault
"ESH. Everyone in this story is reacting in the worst possible way at every stage and this has gotten completely blown out of proportion. Your parents should be respecting your feelings, and you're completely overreacting to this situation too.",judgment,
NTA but you really aren't helping anyone see you as a capable adult with this behaviour. To lose your shit this badly over a photo is extreme as hell. Go seek some very serious psychological assistance.,judgment,
She didn't lose her shit over the photo. Her parents lost their shit on her when she asked them to take it down. She only started crying when they started shouting and swearing at her.,reaction,defends OP emotionally without explicit verdict abbreviation
The world isnt a kind place only ever seems to pop up to justify the actions of others who could've chosen to be kind and didn't,reaction,
"My dad used to make me sit there and force eye contact for hours, screaming and cursing, until he wore himself out. If you have never lived in the relentless pressure cooker of a home then you cannot understand what it does to your sense of self and sanity.",reaction,"personal anecdote, emotional sharing"
"YTA. Look at it from your parent's point of view. They wanted to remember a special night and you had a meltdown about it. How controlling of you. They aren't being abusive, posting photos is not abuse.",judgment,
"Posting pictures is not abuse, but shouting at your daughter who has anxiety and is insecure about something personal is abuse. OP's parents took it way too far, treating their daughter as if she has no autonomy.",judgment,
Let me get this straight. Asking to have someone take down a photo is an unreasonable request and screaming at them and threatening to cut them off financially is a totally normal reaction? yikes.,reaction,
Its not their day and the verbal abuse wasn't necessary. Good parents know how to respect boundaries and handle a situation. They are both extremely abusive and explains why OP suffers from anxiety.,judgment,
love how you completely glossed over the shouting at her until she cried part,reaction,
And then shaming her for having an emotional reaction to being screamed at by two people. And then claiming she wasn't capable of being independent and they'll withdraw all financial support unless she agrees to stay under their direct control.,judgment,
"Once you're 18, they can't force you to do anything. Your life will be more difficult without financial support, but scholarships, grants, and student loans exist. Go get 'em and live your life how you want to live it.",advice,
"Some people don't like their picture being taken, and she has every right to ask for them not to be posted. Even if she was an arsehole, her parents behaviour IS abusive. This is verbal abuse, they were shouting and swearing and scaring her.",judgment,
OP remember this comment. This is a perfect example of several types of abuse you should try to avoid in the future. First they establish themselves as the sole person telling you the truth. Look what you made me do. This is borderline textbook.,judgment,"analytical breakdown, functions as judgment of the abusive parent's tactics"
"Your parents are abusive. Get out of your city and away from them as soon as you can. Find scholarships, get a roommate. NTA",judgment,
"NTA and I'm ticked on your behalf about the stolen lunchbox, even more than their disgusting habits",judgment,
Try billing them both since neither one will confess.,advice,
"yeah, the denial thing is genuinely wild. lazy about dishes is one thing but looking someone dead in the eye and saying you've never seen their glass lunchbox that was sitting on the drying rack the night before, that's focking weird",reaction,
If it's glass I bet it got broken by one of them and they just won't fess up to it,reaction,speculation about what happened
"NTA, but you need to find some new roomates, when you can. They're using you for free stuff and labour.",advice,
"Who is on the lease? If yes, I'd actually get in touch with the landlord and ask them how they'd feel if you were to try and find new roommates. No landlord wants cockroaches tenants.",advice,
"NTA. It's going to be hard for you to navigate this new normal because you are disliked by your room mates now. The GOOD thing is that you're drawing your boundaries, now you have to HOLD it and don't cave in.",advice,
"NTA. If I was in charge, I would get each roommate a specific colour or style of dishes. They lost the right to use your things because they were not responsible. They can go get their own, or go eat out.",advice,
"NTA. You were kind enough to share all your items and they treated your stuff like garbage, expected you to do the bulk of the cleaning and was all but putting up a neon sign welcoming bugs and rodents. Keep your stuff off limits and move out when you can.",judgment,
"NTA. Also, they stole your lunch box, which is making me unreasonably angry. Assholes.",judgment,
NTA- Sounds like both of them are getting a valuable lesson about what Mommy did. Both of them tried to force you to be Mommy. You have no obligation to be Mommy to anyone but literal children.,judgment,
"NTA, it was your stuff to begin with. unless they paid for part of it, then its not theirs",judgment,
If the remaining plates also belong to you I would take them as well. It is clear that these folks don't respect you or your belongings and need to fend for themselves.,advice,
NTA. They are slobs and don't respect you or your stuff.,judgment,
"If they can't respect your stuff, they lose that privilege",judgment,
"NTA. Your roommates are very immature. Keep your dishes, towels, everything of yours in your room and get out of there as quick as you can. Your roommates are not mature enough to live on their own.",advice,
NTA. You tried MULTIPLE times to have a conversation like adults. You gave them AMPLE opportunity to change their behavior. They chose not to. This is simply the Find Out stage.,judgment,
NTA. Of course they're mad. You put an end to their disgusting selfish behavior and there's nothing they can do about it because they know you're right.,judgment,
Im sorry your friends are mad at you?! For having cancer?! Fuck them all cut em all off,reaction,
"NTA. 'I'm sorry you have cancer and all, but look at this horrible pimple on my nose!!! How will I even leave the house?' I AM truly sorry OP for your diagnosis!! Don't include those who sided with K.",judgment,
The main character energy is absolutely wild. She really tried to make a literal cancer diagnosis all about her financial drama. OP needs to drop her and those enabling friends ASAP.,advice,
And fuck cancer!,reaction,
First make sure they have the full story,advice,
"if they DO have the full story and are still acting this way, that's crazy",reaction,
"Honestly? Hard no. Because they heard what lil miss sticky fingers had to say and instead of going to OP and asking what happened, they just jumped on the woe is me bandwagon. They can all go straight to the depths.",judgment,
NTA but I don't get why you're friends with her.,judgment,
or the other mutual friends. Empathy for the less fortunate when you've got news you've got cancer again? F that noise.,reaction,
"And not even just cancer. Cancer AGAIN! F her, F your mutual friends, NTA!",judgment,
"Also, she isn't even less fortunate. Her lack of money didn't happen by chance; it happened because she stole from her parents, and prioritised spending on unnecessary luxuries rather than her bills.",judgment,
"It's good they said that though - hopefully OP will realize they're all trash, and get rid of them.",reaction,
I cannot tell you the amount of people I had to console when I was diagnosed. I can tell you there are fewer than that number of people still in my life. NTA.,reaction,personal anecdote with brief verdict tag
"Definitely grief is the most unpredictable emotion. I was telling my friend that my nephew had just died, horribly, along with my father. She interrupted me to ask how old my nephew was.",reaction,personal anecdote
